-2187,3306,-85,-928,-591,-204,-182,-33,-116
-1242,2515,-70,-1347,-797,-197,-182,-33,-116
1497,-1677,-223,899,813,767,-182,-33,-116
2123,-2743,-271,1139,964,557,-179,-34,-118
196,-74,-225,604,354,349,-179,-34,-118
-1006,1800,-233,6,-159,291,-179,-34,-118
-150,1378,-315,-79,390,468,-181,-34,-115
618,336,-328,104,588,442,-181,-34,-115
30,-95,-179,224,421,434,-181,-34,-115
-652,96,-45,143,44,344,-181,-34,-115
-486,354,-41,96,153,368,-181,-37,-115
-60,328,-73,95,292,470,-181,-37,-115
-60,228,-62,69,260,382,-181,-37,-115
-225,88,-50,191,175,380,-180,-37,-116
-188,31,-83,218,209,374,-180,-37,-116
-118,157,-124,192,213,386,-180,-37,-116
-78,299,-127,122,244,422,-180,-37,-114
-93,260,-79,31,225,394,-180,-37,-114
-137,0,-15,116,197,391,-180,-37,-114
-111,-145,19,167,200,409,-180,-36,-114
-58,-87,21,166,222,405,-180,-36,-114
-50,-1,22,108,235,396,-180,-36,-114
-91,11,37,96,214,395,-180,-36,-114
-113,-48,48,123,200,395,-179,-36,-116
-87,-79,55,131,231,396,-179,-36,-116
-94,-46,63,103,207,403,-179,-36,-116
-113,-59,68,112,200,393,-179,-39,-117
-97,-107,65,147,218,392,-179,-39,-117
-101,-70,56,147,216,412,-179,-39,-117
-119,30,41,120,215,389,-180,-36,-118
-128,77,27,112,213,401,-180,-36,-118
-131,48,20,137,217,407,-180,-36,-118
-148,58,14,136,218,419,-180,-36,-118
-162,70,23,117,240,436,-180,-39,-117
-204,9,57,102,263,425,-180,-39,-117
-303,-128,105,151,264,446,-180,-39,-117
-416,-204,151,151,229,384,-178,-35,-121
-512,-160,150,151,174,389,-178,-35,-121
-486,-115,124,176,167,373,-178,-35,-121
-403,-32,93,154,94,308,-178,-37,-121
-278,70,48,145,67,320,-178,-37,-121
-39,106,6,132,151,396,-178,-37,-121
98,81,-3,114,233,387,-175,-38,-121
42,39,-6,172,120,356,-175,-38,-121
69,118,-45,169,112,347,-175,-38,-121
246,260,-98,122,187,446,-175,-38,-121
305,247,-91,93,224,346,-179,-39,-119
106,147,-58,125,63,359,-179,-39,-119
146,114,-77,164,97,384,-179,-39,-119
423,209,-107,137,232,425,-177,-35,-118
446,240,-88,88,255,402,-177,-35,-118
247,113,-34,122,181,409,-177,-35,-118
185,16,-1,147,179,408,-181,-36,-117
255,27,2,142,216,389,-181,-36,-117
264,55,-3,122,213,407,-181,-36,-117
231,62,-5,86,196,406,-181,-36,-117
239,43,-9,22,148,351,-178,-39,-117
314,-200,7,173,281,415,-178,-39,-117
225,-105,13,106,192,419,-178,-39,-117
170,116,18,58,183,338,-179,-36,-115
222,14,9,119,224,411,-179,-36,-115
214,-72,-7,188,201,411,-179,-36,-115
178,26,-36,170,199,411,-181,-38,-115
219,189,-62,129,234,396,-181,-38,-115
220,211,-65,107,257,384,-181,-38,-115
136,112,-58,147,213,393,-181,-38,-115
87,73,-52,134,201,384,-178,-39,-115
108,70,-58,127,213,381,-178,-39,-115
125,38,-84,144,214,400,-178,-39,-115
132,40,-106,132,214,396,-183,-39,-114
152,72,-103,95,217,400,-183,-39,-114
178,26,-82,74,219,394,-183,-39,-114
199,-106,-58,123,221,402,-178,-40,-112
222,-190,-43,132,218,402,-178,-40,-112
259,-180,-32,110,219,404,-178,-40,-112
303,-197,-23,102,212,393,-180,-38,-113
358,-289,-18,122,193,389,-180,-38,-113
438,-388,-21,128,195,400,-180,-38,-113
560,-453,-31,132,195,397,-180,-38,-113
699,-492,-50,120,184,401,-182,-37,-113
861,-557,-77,110,156,422,-182,-37,-113
1037,-663,-111,104,121,392,-182,-37,-113
1245,-821,-146,130,130,432,-183,-36,-112
1455,-948,-180,118,129,403,-183,-36,-112
1794,-1072,-175,226,382,396,-183,-36,-112
1985,-1105,-149,302,354,402,-185,-39,-108
2030,-849,-221,292,231,396,-185,-39,-108
2626,-431,-347,-106,888,157,-185,-39,-108
3182,-666,-416,-548,1253,491,-185,-39,-108
2480,-2186,-449,-725,787,-374,-189,-38,-101
1988,-4736,-992,-49,1004,283,-189,-38,-101
1540,-5181,-1986,2047,1191,1157,-189,-38,-101
